timestamp,forecast_horizon,scenario_name,stat_name,value
2023-04-30,4,freight_shock,p50,102.59378699131973
2023-04-30,4,freight_shock,p75,124.47778666649666
2023-04-30,4,freight_shock,p95,153.6662726202846
2023-04-30,4,freight_shock,mean,102.95791061792313
2023-05-31,5,freight_shock,p5,50.736436947561785
2023-05-31,5,freight_shock,p25,82.32029284781179
2023-05-31,5,freight_shock,p50,104.65124976874623
2023-05-31,5,freight_shock,p75,124.22666634058146
2023-05-31,5,freight_shock,p95,157.1438196287251
2023-05-31,5,freight_shock,mean,103.8448633470148
2023-06-30,6,freight_shock,p5,50.96779309513745
2023-06-30,6,freight_shock,p25,83.62167878702655
2023-06-30,6,freight_shock,p50,104.18584317169777
2023-06-30,6,freight_shock,p75,126.91584510319049
2023-06-30,6,freight_shock,p95,156.7239456305721
2023-06-30,6,freight_shock,mean,104.42823217036074
2023-07-31,7,freight_shock,p5,52.23460716327028
2023-07-31,7,freight_shock,p25,83.28446915896541
2023-07-31,7,freight_shock,p50,104.2264944165978
2023-07-31,7,freight_shock,p75,125.48368478963297
2023-07-31,7,freight_shock,p95,157.36143996199132
2023-07-31,7,freight_shock,mean,104.25752459301805
2023-08-31,8,freight_shock,p5,52.64027093911827
2023-08-31,8,freight_shock,p25,79.23368272930885
2023-08-31,8,freight_shock,p50,101.60748065802727
2023-08-31,8,freight_shock,p75,124.59834897214395
2023-08-31,8,freight_shock,p95,153.33665103698488
2023-08-31,8,freight_shock,mean,102.43200078802036
2023-09-30,9,freight_shock,p5,53.87502109290897
2023-09-30,9,freight_shock,p25,84.32169552365562
2023-09-30,9,freight_shock,p50,105.39266254180974
2023-09-30,9,freight_shock,p75,124.27112371564482
2023-09-30,9,freight_shock,p95,150.20422553410467
2023-09-30,9,freight_shock,mean,103.9856496148607
2023-10-31,10,freight_shock,p5,51.975104767641604
2023-10-31,10,freight_shock,p25,81.26167643546654
2023-10-31,10,freight_shock,p50,102.19622635368529
2023-10-31,10,freight_shock,p75,123.1155187400449
2023-10-31,10,freight_shock,p95,153.7161628945206
2023-10-31,10,freight_shock,mean,102.45069682583687
2023-11-30,11,freight_shock,p5,54.42697600740742
2023-11-30,11,freight_shock,p25,84.32540370510874
2023-11-30,11,freight_shock,p50,103.00717663432319
2023-11-30,11,freight_shock,p75,124.51322577785805
2023-11-30,11,freight_shock,p95,153.9963834914378
2023-11-30,11,freight_shock,mean,104.02764129058889
2023-12-31,12,freight_shock,p5,52.080752968679036
2023-12-31,12,freight_shock,p25,82.28402047948289
2023-12-31,12,freight_shock,p50,105.17278622949985
2023-12-31,12,freight_shock,p75,125.65239264164501
2023-12-31,12,freight_shock,p95,156.00373688622298
2023-12-31,12,freight_shock,mean,104.10185507525797
